route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
172801,20193012multint-1111100,65205201-20193012multint-1111100,"Place Jacques-Cartier / colline Parlementaire (Sud)",,1,,28010164,2
170250,20193012multint-1111100,65205567-20193012multint-1111100,"Pointe-de-Sainte-Foy (Ouest)",,1,,02500521,2
170700,20193012multint-1111100,65207017-20193012multint-1111100,"Val-Bélair (Nord)",,0,,07000053,2
170740,20193012multint-1111100,65204456-20193012multint-1111100,"Place Jacques-Cartier (Sud)",,1,,07400303,2
170860,20193012multint-1111100,65205382-20193012multint-1111100,"Terminus Les Saules (Nord)",,0,,08600293,2
170860,20193012multint-1111100,65205369-20193012multint-1111100,"Place J.-Cartier / colline Parlementaire (Sud)",,1,,08600302,2
170040,20193012multint-1111100,65206704-20193012multint-1111100,"Maizerets (Nord)",,0,,00400507,2
170040,20193012multint-1111100,65206736-20193012multint-1111100,"Place Jacques-Cartier (Sud)",,1,,00400539,2
170040,20193012multint-1111100,65206706-20193012multint-1111100,"Maizerets (Nord)",,0,,00400507,2
170040,20193012multint-1111100,65206759-20193012multint-1111100,"Place Jacques-Cartier (Sud)",,1,,00400539,2
172821,20193012multint-1111100,65205151-20193012multint-1111100,"Lac-Saint-Charles (Nord)",,0,,28210171,2
170250,20193012multint-1111100,65205532-20193012multint-1111100,"Place D'Youville / Gare du Palais (Est)",,0,,02500537,2
170180,20193012multint-1111100,65237530-20193012multint-1111100,"Université Laval (Ouest)",,1,,01800328,2
173301,20193012multint-1111100,65206390-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,33010411,2
172301,20193012multint-1111100,65205252-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,23010014,2
170520,20193012multint-1111100,65208524-20193012multint-1111100,"Terminus Charlesbourg (Ouest)",,1,,05200239,2
170250,20193012multint-1111100,65205521-20193012multint-1111100,"Pointe-de-Sainte-Foy (Ouest)",,1,,02500516,2
173361,20193012multint-1111100,65207234-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,33610113,1
173501,20193012multint-1111100,65206167-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,35010462,2
172531,20193012multint-1111100,65204968-20193012multint-1111100,"Grand Théâtre (Sud)",,1,,25310026,2
172541,20193012multint-1111100,65204945-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,25410348,2
170940,20193012multint-1111100,65206931-20193012multint-1111100,"Cégep Garneau / Place Jacques-Cartier (Est)",,0,,09400195,2
173381,20193012multint-1111100,65207213-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,33810175,2
170580,20193012multint-1111100,65208366-20193012multint-1111100,"Terminus Beauport (Sud)",,1,,05800179,2
170520,20193012multint-1111100,65208520-20193012multint-1111100,"Terminus Charlesbourg (Ouest)",,1,,05200239,2
170520,20193012multint-1111100,65208517-20193012multint-1111100,"Terminus Charlesbourg (Ouest)",,1,,05200239,2
173301,20193012multint-1111100,65206380-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,33010409,2
170040,20193012multint-1111100,65237461-20193012multint-1111100,"Place Jacques-Cartier (Sud)",,1,,00400536,2
